"","x"
"280","0"
"281","0"
"282","0"
"283","0"
"284","0"
"285","0"
"286","0"
"287","0"
"288","0"
"289",NA
"290","0"
"291","0"
"292","1"
"293","0"
"294","0"
"295","1"
"296","0"
"297","0"
"298","0"
"299","0"
"300","0"
"301","0"
"302","0"
"303","1"
"304",NA
"305","0"
"306","0"
"307","0"
"308","1"
"309","0"
"310","0"
"311","0"
"312","0"
"313","1"
"314","0"
"315","0"
"316","1"
"317","0"
"318",NA
"319","1"
"320","0"
"321","0"
"322","0"
"323","0"
"324","0"
"325","0"
"326","0"
"327","0"
"328","0"
"329","0"
"330","0"
"331","1"
"332","1"
"333","0"
"334","0"
"335","0"
"336",NA
"337",NA
"338","0"
"339","0"
"340","1"
"341","0"
"342","1"
"343","0"
"344",NA
"345","0"
"346","0"
"347","1"
"348","0"
"349","0"
"350","0"
"351","1"
"352","1"
"353","1"
"354","0"
"355","0"
"356","1"
"357","0"
"358","0"
"359","0"
"360","0"
"361","0"
"362","0"
"363","0"
"364","0"
"365","0"
"366","0"
"367","0"
"368","0"
"369","0"
"370","0"
"371","0"
"372","0"
"373","0"
"374","0"
"375","0"
"376","0"
"377","1"
"378","0"
"379","0"
"380","0"
"381","0"
"382","0"
"383","1"
"384","0"
"385","1"
"386","0"
"387",NA
"388","1"
"389","1"
"390","0"
"391","0"
"392","1"
"393","0"
"394","0"
"395","1"
"396","0"
"397","0"
"398",NA
"399","1"
"400","0"
"401","0"
"402","0"
"403","1"
"404","0"
"405","0"
"406","0"
"407","0"
"408","0"
"409","0"
"410","0"
"411","1"
"412","0"
"413","0"
"414","0"
"415","0"
"416","0"
"417","1"
"418","1"
"419",NA
"420",NA
"421","0"
"422","0"
"423","0"
"424","1"
"425","0"
"426","0"
"427","0"
"428","1"
"429","0"
"430","0"
"431","0"
"432","1"
"433","0"
"434","0"
"435","0"
"436","0"
"437","0"
"438",NA
"439","0"
"440","1"
"441","0"
"442","1"
"443","0"
"444","0"
"445","1"
"446","0"
"447","0"
"448",NA
"449","0"
"450","0"
"451","1"
"452","0"
"453","0"
"454","0"
"455","0"
"456","1"
"457","1"
"458","0"
"459",NA
"460","0"
"461","0"
"462","0"
"463","0"
"464","0"
"465","0"
"466","0"
"467","0"
"468","0"
"469","0"
"470",NA
"471","0"
"472",NA
"473","0"
"474","0"
"475","1"
"476","0"
"477","0"
"478","0"
"479","0"
"480","0"
"481","0"
"482","0"
"483","0"
"484","0"
"485",NA
"486","0"
"487","0"
"488","0"
"489","0"
"490","0"
"491","0"
"492","0"
"493","1"
"494","0"
"495","0"
"496","0"
"497",NA
"498","0"
"499","1"
"500","0"
"501",NA
"502","0"
"503",NA
"504",NA
"505","1"
"506","1"
"507","1"
"508","0"
"509","0"
"510","1"
"511","0"
"512","0"
"513","1"
"514","0"
"515","0"
"516","0"
"517","1"
"518","0"
"519","0"
"520","0"
"521","0"
"522",NA
"523","0"
"524","0"
"525","0"
"526","0"
"527","0"
"528","0"
"529","0"
"530","0"
"531","0"
"532","0"
"533","0"
"534","0"
"535","0"
"536","0"
"537","0"
"538","0"
"539","0"
"540","0"
"541","0"
"542","0"
"543","0"
"544","1"
"545","1"
"546","0"
"547","1"
"548","0"
"549","1"
"550","0"
"551","0"
"552","0"
"553","0"
"554","0"
"555","0"
"556","1"
"557","0"
"558","1"
"559",NA
"560","0"
"561","0"
"562","0"
"563",NA
"564","0"
"565","0"
"566","0"
"567","0"
"568","0"
"569","0"
"570","1"
"571","1"
"572",NA
"573",NA
"574","1"
"575","0"
"576","0"
"577",NA
"578","1"
"579","0"
"580","0"
"581","0"
"582","0"
"583","0"
"584","0"
"585","0"
"586","0"
"587","1"
"588","0"
"589","0"
"590","0"
"591","1"
"592","0"
"593","0"
"594","0"
"595","0"
"596","0"
"597","0"
"598","0"
"599","1"
"600","1"
"601","0"
"602","0"
"603","0"
"604","0"
"605","0"
"606","0"
"607","0"
"608","1"
"609","1"
"610","0"
"611","0"
"612","1"
"613","1"
"614","0"
"615","0"
"616","1"
"617","0"
"618","1"
"619","0"
"620","0"
"621","0"
"622","1"
"623","0"
"624","1"
"625","0"
"626","0"
"627",NA
"628","1"
"629","0"
"630","0"
"631","1"
"632","0"
"633","0"
"634","0"
"635",NA
"636","0"
"637","0"
"638","0"
"639","0"
"640","0"
"641","0"
"642","0"
"643","0"
"644","1"
"645","1"
"646","0"
"647",NA
"648","0"
"649","0"
"650",NA
"651","0"
"652","1"
"653","0"
"654","0"
"655","0"
"656","0"
"657","0"
"658","0"
"659","0"
"660","0"
"661","0"
"662","0"
"663","0"
"664",NA
"665","1"
"666","0"
"667","0"
"668","0"
"669","0"
"670","1"
"671","0"
"672","0"
"673",NA
"674","0"
"675","1"
"676","0"
"677","0"
"678","0"
"679","0"
"680","0"
"681","0"
"682","1"
"683","0"
"684","0"
"685","0"
"686","0"
"687","0"
"688","1"
"689","0"
"690","0"
"691","1"
"692","0"
"693","0"
"694","0"
"695","0"
"696","0"
"697","1"
"698","0"
"699","0"
"700","1"
"701","1"
"702","0"
"703","0"
"704","0"
"705","0"
"706","1"
"707","0"
"708","0"
"709","1"
"710","0"
"711",NA
"712","1"
"713","0"
"714","1"
"715","0"
"716","1"
"717","0"
"718","1"
"719","1"
"720","0"
"721","0"
"722","1"
"723","1"
"724","0"
"725","0"
"726","1"
"727","1"
"728","0"
"729","0"
"730","0"
"731","0"
"732","0"
"733","0"
"734","0"
"735","0"
"736","0"
"737","0"
"738","1"
"739","0"
"740","1"
"741","0"
"742","0"
"743","0"
"744","0"
"745","0"
"746","0"
"747","0"
"748","0"
"749","0"
"750","1"
"751","0"
"752","0"
"753","0"
"754","1"
"755","1"
"756","0"
"757","0"
"758","0"
"759","1"
"760","1"
"761","0"
"762","0"
"763","1"
"764","0"
"765",NA
"766",NA
"767","1"
"768","1"
"769",NA
"770","0"
"771","1"
"772","0"
"773","0"
"774","0"
"775","0"
"776","1"
"777","0"
"778","0"
"779","0"
"780","0"
"781","0"
"782","1"
"783",NA
"784","1"
"785","1"
"786","0"
"787","0"
"788",NA
"789","0"
"790","0"
"791","0"
"792","0"
"793","0"
"794","1"
"795","0"
"796","0"
"797","0"
"798","0"
"799","0"
"800","0"
"801","1"
"802","0"
"803","0"
"804","0"
"805","0"
"806","0"
"807",NA
"808","1"
"809","0"
"810","1"
"811",NA
"812","0"
"813","0"
"814","0"
"815","0"
"816","0"
"817","0"
"818","1"
"819","1"
"820","0"
"821","0"
"822","1"
"823","1"
"824","0"
"825","0"
"826","0"
"827","0"
"828","0"
"829","0"
"830","0"
"831","0"
"832","0"
"833","0"
"834","0"
"835","0"
"836","0"
"837","0"
"838","1"
"839","0"
"840","0"
"841","0"
"842","0"
"843","0"
"844","0"
"845","1"
"846","0"
"847","1"
"848","1"
"849","0"
"850","1"
"851","0"
"852","0"
"853","0"
"854","0"
"855","0"
"856","0"
"857","1"
"858","1"
"859",NA
"860","0"
"861","0"
"862","0"
"863",NA
"864","0"
"865","1"
"866","1"
"867","1"
"868","0"
"869","0"
"870","1"
"871","0"
"872","0"
"873","0"
"874","0"
"875",NA
"876","0"
"877","0"
"878","0"
"879","0"
"880","0"
"881","1"
"882","0"
"883","0"
"884","0"
"885","0"
"886","0"
"887","1"
"888","1"
"889","1"
"890","1"
"891","0"
"892","0"
"893","0"
"894","0"
"895","0"
"896",NA
"897","0"
"898","0"
"899","1"
"900","0"
"901","0"
"902","0"
"903",NA
"904","0"
"905","0"
"906","0"
"907","1"
"908","0"
"909","1"
"910","0"
"911","0"
"912","0"
"913","0"
"914","0"
"915","0"
"916","0"
"917","0"
"918","1"
"919","0"
"920","0"
"921","1"
"922","1"
"923","0"
"924","0"
"925","1"
"926","0"
"927","1"
"928","0"
"929","1"
"930","1"
"931","0"
"932","0"
"933","1"
"934","0"
"935","0"
"936","0"
"937","1"
"938","0"
"939","1"
"940",NA
"941","0"
"942","0"
"943","1"
"944","0"
"945","0"
"946","0"
"947","1"
"948","0"
"949","0"
"950","0"
"951","0"
"952",NA
"953","0"
"954","0"
"955","0"
"956","0"
"957","0"
"958","0"
"959","0"
"960","0"
"961","0"
"962","0"
"963","0"
"964","1"
"965","0"
"966","0"
"967","0"
"968","1"
"969","0"
"970","1"
"971","1"
"972","0"
"973","0"
"974","1"
"975","0"
"976","0"
"977","1"
"978","0"
"979","0"
"980","0"
"981","1"
"982","1"
"983","1"
"984","0"
"985","1"
"986","0"
"987","0"
"988",NA
"989","0"
"990","1"
"991","0"
"992","0"
"993","0"
"994","0"
"995","0"
"996","1"
"997","0"
"998","0"
"999","0"
"1000","0"
"1001","0"
"1002","0"
"1003",NA
"1004",NA
"1005","0"
"1006","0"
"1007","0"
"1008",NA
"1009","0"
"1010","0"
"1011","0"
"1012","1"
"1013","0"
"1014","1"
"1015",NA
"1016","0"
"1017","1"
"1018","0"
"1019","1"
"1020","1"
"1021","1"
"1022","0"
"1023","1"
"1024","0"
"1025","0"
"1026","1"
"1027","0"
"1028","0"
"1029","1"
"1030","0"
"1031","0"
"1032","1"
"1033","0"
"1034","1"
"1035","0"
"1036","1"
"1037","0"
"1038","0"
"1039","1"
"1040","0"
"1041","1"
"1042","0"
"1043","0"
"1044","0"
"1045","0"
"1046","1"
"1047","0"
"1048","0"
"1049","0"
"1050","1"
"1051","0"
"1052","0"
"1053","0"
"1054","0"
"1055","1"
"1056","0"
"1057","1"
"1058","0"
"1059","0"
"1060","0"
"1061","0"
"1062","0"
"1063",NA
"1064","1"
"1065",NA
"1066","1"
"1067","0"
"1068","1"
"1069","1"
"1070","0"
"1071","0"
"1072","0"
"1073","1"
"1074","1"
"1075","1"
"1076","0"
"1077","1"
"1078","0"
"1079","1"
"1080","0"
"1081","0"
"1082","1"
"1083","1"
"1084","0"
"1085","0"
"1086","0"
"1087","0"
"1088","0"
"1089","0"
"1090","0"
"1091","0"
"1092","1"
"1093",NA
"1094","0"
"1095","0"
"1096",NA
"1097","1"
"1098","1"
"1099","0"
"1100","0"
"1101","0"
"1102","0"
"1103","0"
"1104","0"
"1105","0"
"1106","1"
"1107","1"
"1108","0"
"1109","0"
"1110","1"
"1111","1"
"1112","0"
"1113","0"
"1114",NA
"1115","0"
"1116","0"
"1117","0"
"1118","1"
"1119","1"
"1120","0"
"1121","0"
"1122","1"
"1123","0"
"1124","1"
"1125","1"
"1126","0"
"1127",NA
"1128","1"
"1129","0"
"1130","0"
"1131","0"
"1132","1"
"1133","0"
"1134","0"
"1135",NA
"1136","0"
"1137","1"
"1138","0"
"1139","0"
"1140",NA
"1141","0"
"1142","1"
"1143","0"
"1144",NA
"1145","0"
"1146","0"
"1147","0"
"1148","0"
"1149","0"
"1150","0"
"1151","0"
"1152","1"
"1153","0"
"1154","0"
"1155","1"
"1156","1"
"1157","0"
"1158","1"
"1159","1"
"1160","1"
"1161","0"
"1162","0"
"1163","0"
"1164","1"
"1165","1"
"1166","1"
"1167",NA
"1168","0"
"1169","1"
"1170","0"
"1171","0"
"1172","1"
"1173","0"
"1174",NA
"1175","1"
"1176",NA
"1177","1"
"1178","1"
"1179","0"
"1180","0"
"1181","0"
"1182","0"
"1183","1"
"1184","0"
"1185","0"
"1186","0"
"1187","1"
"1188","1"
"1189","0"
"1190","0"
"1191","0"
"1192","0"
"1193","0"
"1194","0"
"1195","0"
"1196","0"
"1197","0"
"1198","0"
"1199","0"
"1200","1"
"1201","0"
"1202","0"
"1203","1"
"1204","0"
"1205","0"
"1206","0"
"1207","1"
"1208","1"
"1209","0"
"1210","0"
"1211","0"
"1212","0"
"1213","0"
"1214","1"
"1215","1"
"1216","0"
"1217","0"
"1218","0"
"1219",NA
"1220","0"
"1221","0"
"1222","0"
"1223","1"
"1224","0"
"1225","0"
"1226","0"
"1227","0"
"1228","0"
"1229","0"
"1230","0"
"1231","0"
"1232","1"
"1233","1"
"1234","1"
"1235","0"
"1236","0"
"1237","0"
"1238","0"
"1239",NA
"1240","0"
"1241","1"
"1242","0"
"1243","1"
"1244","0"
"1245","0"
"1246","0"
"1247",NA
"1248","0"
"1249","0"
"1250","1"
"1251","0"
"1252","0"
"1253","0"
"1254","1"
"1255","0"
"1256","0"
"1257","0"
"1258","0"
"1259","1"
"1260","1"
"1261","1"
"1262","0"
"1263","0"
"1264","0"
"1265","0"
"1266","0"
"1267","1"
"1268","0"
"1269",NA
"1270","0"
"1271","0"
"1272","0"
"1273","1"
"1274",NA
"1275","1"
"1276","1"
"1277","0"
"1278","0"
"1279","0"
"1280","0"
"1281","0"
"1282",NA
"1283","0"
"1284","0"
"1285","0"
"1286","0"
"1287","0"
"1288","0"
"1289","0"
"1290","1"
"1291","1"
"1292","0"
"1293","0"
"1294","0"
"1295","1"
"1296","0"
"1297","0"
"1298","0"
"1299","0"
"1300","0"
"1301","0"
"1302","1"
"1303",NA
"1304","1"
"1305",NA
"1306","0"
"1307","1"
"1308","0"
"1309","0"
"1310","0"
"1311","1"
"1312","0"
"1313","0"
"1314","0"
"1315","0"
"1316","0"
"1317","0"
"1318","0"
"1319","0"
"1320","0"
"1321","0"
"1322","0"
"1323","0"
"1324","1"
"1325","0"
"1326","0"
"1327",NA
"1328","0"
"1329","1"
"1330","0"
"1331","0"
"1332","0"
"1333","0"
"1334","1"
"1335","0"
"1336","0"
"1337","0"
"1338","0"
"1339","0"
"1340","1"
"1341","0"
"1342","0"
"1343","0"
"1344",NA
"1345","0"
"1346","0"
"1347","0"
"1348","0"
"1349","0"
"1350","0"
"1351","0"
"1352","1"
"1353","1"
"1354","0"
"1355","0"
"1356","0"
"1357","1"
"1358","0"
"1359","0"
"1360",NA
"1361","0"
"1362","0"
"1363","1"
"1364","0"
"1365","0"
"1366","0"
"1367","0"
"1368","1"
"1369","1"
"1370","1"
"1371","0"
"1372","0"
"1373","1"
"1374","1"
"1375","0"
"1376",NA
"1377","0"
"1378","0"
"1379","0"
"1380","0"
"1381","0"
"1382","1"
"1383","0"
"1384","0"
"1385","1"
"1386","1"
"1387","0"
"1388","0"
"1389",NA
"1390","0"
"1391","0"
"1392","0"
"1393","0"
"1394","0"
"1395","1"
"1396",NA
"1397","1"
"1398","0"
"1399","1"
"1400","0"
"1401","1"
"1402","1"
"1403","1"
"1404","0"
"1405","0"
"1406",NA
"1407","1"
"1408","0"
"1409","0"
"1410","0"
"1411","0"
"1412",NA
"1413","1"
"1414","1"
"1415","0"
"1416","0"
"1417","0"
"1418","0"
"1419","0"
"1420","1"
"1421","1"
"1422","0"
"1423","1"
"1424","1"
"1425","0"
"1426","0"
"1427","1"
"1428","0"
"1429","0"
"1430","0"
"1431","0"
"1432","0"
"1433","0"
"1434","1"
"1435","1"
"1436","0"
"1437","1"
"1438","0"
"1439","0"
"1440","0"
"1441","0"
"1442","1"
"1443","0"
"1444","0"
"1445","0"
"1446","1"
"1447","0"
"1448","0"
"1449","0"
"1450","0"
"1451","1"
"1452","0"
"1453","1"
"1454","0"
"1455","0"
"1456","1"
"1457",NA
"1458","1"
"1459","0"
"1460","0"
"1461","0"
"1462","0"
"1463","1"
"1464","1"
"1465","1"
"1466","1"
"1467","0"
"1468","0"
"1469","1"
"1470","0"
"1471","0"
"1472","1"
"1473","0"
"1474","0"
"1475","0"
"1476","1"
"1477","0"
"1478","0"
"1479","0"
"1480","1"
"1481","0"
"1482","0"
"1483","0"
"1484","0"
"1485","0"
"1486","0"
"1487","0"
"1488","1"
"1489","0"
"1490","0"
"1491","0"
"1492","0"
"1493","1"
"1494","0"
"1495","1"
"1496",NA
"1497","0"
"1498","0"
"1499","1"
"1500","1"
"1501","0"
"1502","0"
"1503","0"
"1504","0"
"1505","0"
"1506","1"
"1507","0"
"1508","0"
"1509","0"
"1510","0"
"1511","0"
"1512","0"
"1513","0"
"1514",NA
"1515","0"
"1516","0"
"1517","0"
"1518","0"
"1519","0"
"1520","1"
"1521",NA
"1522",NA
"1523","1"
"1524","0"
"1525","0"
"1526",NA
"1527","1"
"1528","0"
"1529","0"
"1530","0"
"1531",NA
"1532","0"
"1533","0"
"1534","1"
"1535","1"
"1536","0"
"1537","0"
"1538","0"
"1539","0"
"1540","0"
"1541","0"
"1542","0"
"1543","1"
"1544",NA
"1545","1"
"1546","0"
"1547","0"
"1548","1"
"1549","0"
"1550","0"
"1551","0"
"1552","0"
"1553","0"
"1554","0"
"1555","0"
"1556","1"
"1557","0"
"1558",NA
"1559","0"
"1560","0"
"1561","0"
"1562","0"
"1563","1"
"1564","1"
"1565","0"
"1566","0"
"1567","1"
"1568","1"
"1569","1"
"1570","0"
"1571","0"
"1572","1"
"1573","0"
"1574","1"
"1575","0"
"1576","1"
"1577","0"
"1578","1"
"1579","1"
"1580",NA
"1581","0"
"1582","0"
"1583","0"
"1584","0"
"1585","0"
"1586","1"
"1587","0"
"1588","0"
"1589","1"
"1590","1"
"1591","0"
"1592","1"
"1593","1"
"1594","1"
"1595","1"
"1596","0"
"1597","0"
"1598","0"
"1599","1"
"1600","0"
"1601","0"
"1602","0"
"1603","0"
"1604","0"
"1605","0"
"1606","1"
"1607",NA
"1608","0"
"1609","0"
"1610","0"
"1611","1"
"1612","1"
"1613","0"
"1614","0"
"1615","0"
"1616",NA
"1617","1"
"1618","0"
"1619","0"
"1620","1"
"1621","1"
"1622","0"
"1623","0"
"1624","0"
"1625","1"
"1626",NA
"1627","0"
"1628","0"
"1629","0"
"1630","0"
"1631","0"
"1632","1"
"1633","0"
"1634","0"
"1635","1"
"1636","0"
"1637","1"
"1638","0"
"1639","1"
"1640","0"
"1641","0"
"1642","0"
"1643","1"
"1644","1"
"1645","1"
"1646","1"
"1647","0"
"1648","0"
"1649","1"
"1650","0"
"1651","0"
"1652","0"
"1653","0"
"1654",NA
"1655","0"
"1656","0"
"1657",NA
"1658","0"
"1659","1"
"1660","0"
"1661","0"
"1662","0"
"1663","1"
"1664","0"
"1665","0"
"1666","0"
"1667","1"
"1668","1"
"1669","0"
"1670","0"
"1671","1"
"1672","0"
"1673","1"
"1674","0"
"1675","0"
"1676","0"
"1677","0"
"1678","1"
"1679","0"
"1680","1"
"1681","0"
"1682","0"
"1683","0"
"1684","0"
"1685","0"
"1686","0"
"1687","0"
"1688","1"
"1689","1"
"1690","0"
"1691","1"
"1692","0"
"1693","0"
"1694","0"
"1695","0"
"1696","0"
"1697","0"
"1698","0"
"1699","0"
"1700","0"
"1701","1"
"1702","0"
"1703","1"
"1704","0"
"1705",NA
"1706","0"
"1707","1"
"1708",NA
"1709","0"
"1710","0"
"1711","1"
"1712","1"
"1713","0"
"1714","0"
"1715","1"
"1716","1"
"1717","0"
"1718","1"
"1719","1"
"1720",NA
"1721","0"
"1722","0"
"1723","0"
"1724",NA
"1725","1"
"1726","1"
"1727","0"
"1728","0"
"1729","1"
"1730","0"
"1731","1"
"1732","1"
"1733","1"
"1734","0"
"1735","0"
"1736","0"
"1737","0"
"1738","0"
"1739","0"
"1740","0"
"1741","1"
"1742","0"
"1743","0"
"1744","0"
"1745","0"
"1746","1"
"1747","0"
"1748","0"
"1749","1"
"1750","0"
"1751","0"
"1752","0"
"1753","0"
"1754","0"
"1755","0"
"1756","1"
"1757","1"
"1758","1"
"1759","0"
"1760","0"
"1761","0"
"1762","1"
"1763","0"
"1764","0"
"1765","1"
"1766","0"
"1767","0"
"1768","0"
"1769",NA
"1770","1"
"1771","0"
"1772","1"
"1773","0"
"1774","0"
"1775","0"
"1776","0"
"1777","0"
"1778","0"
"1779","0"
"1780","0"
"1781","0"
"1782","1"
"1783","0"
"1784","0"
"1785","1"
"1786","0"
"1787","1"
"1788","1"
"1789","0"
"1790","0"
"1791","0"
"1792",NA
"1793","0"
"1794","0"
"1795","1"
"1796",NA
"1797","0"
"1798","0"
"1799","0"
"1800","0"
"1801","0"
"1802","0"
"1803","0"
"1804","1"
"1805","0"
"1806","0"
"1807","1"
"1808","0"
"1809","0"
"1810",NA
"1811","0"
"1812","0"
"1813","0"
"1814","1"
"1815","0"
"1816","0"
"1817","1"
"1818","0"
"1819","0"
"1820","1"
"1821","0"
"1822","1"
"1823",NA
"1824","0"
"1825","0"
"1826","1"
"1827","1"
"1828","0"
"1829","0"
"1830","0"
"1831","0"
"1832","1"
"1833","0"
"1834","0"
"1835","0"
"1836","0"
"1837","0"
"1838","1"
"1839","0"
"1840","0"
"1841","1"
"1842","0"
"1843","0"
"1844","0"
"1845","0"
"1846","0"
"1847","0"
"1848","0"
"1849","0"
"1850","0"
"1851","0"
"1852","0"
"1853","0"
"1854","0"
"1855","0"
"1856","0"
"1857","1"
"1858","0"
"1859","0"
"1860","1"
"1861","1"
"1862","0"
"1863","0"
"1864","0"
"1865","1"
"1866","0"
"1867",NA
"1868","0"
"1869","0"
"1870","0"
"1871","0"
"1872","1"
"1873","0"
"1874",NA
"1875","0"
"1876","0"
"1877","0"
"1878","1"
"1879","0"
"1880","0"
"1881","1"
"1882","0"
"1883","0"
"1884","0"
"1885","0"
"1886","1"
"1887","0"
"1888","1"
"1889","0"
"1890","0"
"1891","1"
"1892","1"
"1893","1"
"1894","0"
"1895","0"
"1896","0"
"1897","0"
"1898","1"
"1899","0"
"1900","1"
"1901","0"
"1902","1"
"1903","1"
"1904","1"
"1905","0"
"1906","0"
"1907","0"
"1908","0"
"1909","0"
"1910","0"
"1911","0"
"1912",NA
"1913","1"
"1914","0"
"1915","0"
"1916","1"
"1917","0"
"1918","0"
"1919","0"
"1920","0"
"1921","0"
"1922","0"
"1923","0"
"1924","1"
"1925","1"
"1926","1"
"1927",NA
"1928","0"
"1929","0"
"1930","0"
"1931","0"
"1932","0"
"1933","0"
"1934","0"
"1935","1"
"1936","0"
"1937","1"
"1938","0"
"1939","0"
"1940","0"
"1941","0"
"1942","1"
"1943","0"
"1944","0"
"1945","0"
"1946","0"
"1947","0"
"1948","0"
"1949","0"
"1950","0"
"1951","0"
"1952","0"
"1953","1"
"1954","0"
"1955","1"
"1956","1"
"1957","0"
"1958","0"
"1959","0"
"1960","0"
"1961","0"
"1962","1"
"1963",NA
"1964","0"
"1965","0"
"1966","1"
"1967","1"
"1968","1"
"1969","1"
"1970","0"
"1971","0"
"1972","0"
"1973","0"
"1974",NA
"1975","0"
"1976","1"
"1977","1"
"1978","0"
"1979","0"
"1980","0"
"1981","1"
"1982","1"
"1983","0"
"1984",NA
"1985","0"
"1986","1"
"1987","0"
"1988","0"
"1989","1"
"1990","0"
"1991","0"
"1992","0"
"1993","0"
"1994","1"
"1995","0"
"1996","0"
"1997","0"
"1998","0"
"1999",NA
"2000","0"
"2001","1"
"2002","0"
"2003","0"
"2004","1"
"2005","0"
"2006","0"
"2007","0"
"2008","0"
"2009",NA
"2010","1"
"2011","0"
"2012","0"
"2013","0"
"2014","0"
"2015","1"
"2016","0"
"2017","1"
"2018","0"
"2019","0"
"2020",NA
"2021","1"
"2022","1"
"2023","0"
"2024","0"
"2025","0"
"2026","1"
"2027",NA
"2028","0"
"2029","1"
"2030",NA
"2031","1"
"2032","0"
"2033","0"
"2034","1"
"2035","1"
"2036","0"
"2037","1"
"2038","0"
"2039","1"
"2040","0"
"2041",NA
"2042","1"
"2043","0"
"2044","0"
"2045","1"
"2046","0"
"2047","0"
"2048","1"
"2049","0"
"2050","0"
"2051","0"
"2052","0"
"2053","0"
"2054",NA
"2055","0"
"2056","1"
"2057","0"
"2058","0"
"2059","0"
"2060","0"
"2061","0"
"2062",NA
"2063","0"
"2064","0"
"2065","1"
"2066","0"
"2067","0"
"2068","0"
"2069","0"
"2070","1"
"2071","0"
"2072","0"
"2073","0"
"2074","0"
"2075","1"
"2076","0"
"2077","0"
"2078","0"
"2079","0"
"2080","0"
"2081","0"
"2082","0"
"2083","0"
"2084","0"
"2085","0"
"2086","0"
"2087","0"
"2088",NA
"2089","1"
"2090","0"
"2091",NA
"2092","0"
"2093","1"
"2094","1"
"2095","0"
"2096","1"
"2097","0"
"2098","0"
"2099",NA
"2100","0"
"2101","1"
"2102","0"
"2103","0"
"2104","0"
"2105","0"
"2106","0"
"2107","0"
"2108","0"
"2109","1"
"2110","1"
"2111","0"
"2112","0"
"2113","1"
"2114","1"
"2115","1"
"2116","0"
"2117","0"
"2118","1"
"2119","0"
"2120","0"
"2121","0"
"2122","0"
"2123","0"
"2124","0"
"2125","0"
"2126","0"
"2127","0"
"2128","1"
"2129","0"
"2130","0"
"2131","0"
"2132","1"
"2133","0"
"2134","1"
"2135","1"
"2136","0"
"2137","0"
"2138","0"
"2139","0"
"2140","0"
"2141","0"
